对话编号,用户,小影,对话主题,对话轮数,上传日期,状态
"482","马铃薯用户名","马铃薯机器人","游戏","31","2016-06-23 14:03:38","未审核"
"481","马铃薯用户名","马铃薯机器人","饮食","28","2016-06-23 14:03:38","未审核"
"480","马铃薯用户名","马铃薯机器人","电子产品","30","2016-06-23 14:03:37","未审核"
"479","马铃薯用户名","马铃薯机器人","电脑","29","2016-06-23 14:03:37","未审核"
"478","马铃薯用户名","马铃薯机器人","跟团游","30","2016-06-23 14:03:36","未审核"
"477","马铃薯用户名","马铃薯机器人","火车出行","31","2016-06-23 14:03:36","未审核"
"476","马铃薯","马铃薯","游戏","31","2016-06-23 13:50:57","未审核"
"475","马铃薯","马铃薯","饮食","28","2016-06-23 13:50:57","未审核"
"474","马铃薯","马铃薯","电子产品","30","2016-06-23 13:50:56","未审核"
"473","马铃薯","马铃薯","电脑","29","2016-06-23 13:50:56","未审核"
"472","马铃薯","马铃薯","跟团游","30","2016-06-23 13:50:56","未审核"
"471","马铃薯","马铃薯","火车出行","31","2016-06-23 13:50:55","未审核"
"469","","","饮食","28","2016-06-23 13:42:15","未审核"
"468","","","电子产品","30","2016-06-23 13:42:15","未审核"
"467","","","电脑","29","2016-06-23 13:42:15","未审核"
"466","","","跟团游","30","2016-06-23 13:42:14","未审核"
"465","","","火车出行","31","2016-06-23 13:42:14","未审核"
"463","用户","机器人扮演者","宠物","80","2016-06-22 14:38:46","未审核"
"462","用户","机器人扮演者","租房","34","2016-06-22 14:38:45","未审核"
"461","用户","机器人扮演者","运动","14","2016-06-22 14:38:45","未审核"
"460","用户","机器人扮演者","住房","130","2016-06-22 14:38:45","未审核"
"458","用户","机器人扮演者","游戏","31","2016-06-22 11:19:15","未审核"
"457","用户","机器人扮演者","饮食","28","2016-06-22 11:19:15","未审核"
"456","用户","机器人扮演者","电子产品","30","2016-06-22 11:19:14","未审核"
"455","用户","机器人扮演者","电脑","29","2016-06-22 11:19:14","未审核"
"454","用户","机器人扮演者","跟团游","30","2016-06-22 11:19:14","未审核"
"453","用户","机器人扮演者","火车出行","31","2016-06-22 11:19:13","未审核"
"452","用户","机器人扮演者","爱情","38","2016-06-22 11:17:27","未审核"
"451","用户","机器人扮演者","旅游","82","2016-06-22 11:17:27","未审核"
"450","用户","机器人扮演者","文人","42","2016-06-22 11:17:26","未审核"
"449","用户","机器人扮演者","网购","42","2016-06-22 11:17:25","未审核"
"448","用户","机器人扮演者","购物","40","2016-06-22 11:17:25","未审核"
"447","用户","机器人扮演者","明星","126","2016-06-22 11:17:24","未审核"
"446","用户","机器人扮演者","运动","40","2016-06-22 11:17:23","未审核"
"445","用户","机器人扮演者","音乐","38","2016-06-22 11:17:23","未审核"
"444","用户","机器人扮演者","饮食","60","2016-06-22 11:17:22","未审核"
"443","用户","机器人扮演者","动物","56","2016-06-22 11:17:22","未审核"
"442","用户","机器人扮演者","明星","40","2016-06-22 11:17:21","未审核"
"441","用户","机器人扮演者","游戏","56","2016-06-22 11:17:21","未审核"
"440","用户","机器人扮演者","减肥","42","2016-06-22 11:16:52","未审核"
"439","用户","机器人扮演者","护肤","40","2016-06-22 11:16:51","未审核"
"438","用户","机器人扮演者","化妆","44","2016-06-22 11:16:51","未审核"
"437","用户","机器人扮演者","穿衣","148","2016-06-22 11:16:50","未审核"
"436","用户","机器人扮演者","追求爱情","132","2016-06-22 11:16:48","未审核"
"435","用户","机器人扮演者","宠物","178","2016-06-22 11:16:47","未审核"
"434","用户","机器人扮演者","工作环境","42","2016-06-22 11:16:45","未审核"
"433","用户","机器人扮演者","创业","40","2016-06-22 11:16:45","未审核"
"432","用户","机器人扮演者","亲情","16","2016-06-21 18:25:50","未审核"
"431","用户","机器人扮演者","电影","60","2016-06-21 18:25:49","未审核"
"430","用户","机器人扮演者","学习","10","2016-06-21 18:25:48","未审核"
"429","用户","机器人扮演者","异性朋友","69","2016-06-21 18:25:48","未审核"
"428","用户","机器人扮演者","哥们","70","2016-06-21 18:25:48","未审核"
"427","用户","机器人扮演者","闺蜜","72","2016-06-21 18:25:47","未审核"
"426","用户","机器人扮演者","爱情","38","2016-06-21 18:22:50","未审核"
"425","用户","机器人扮演者","旅游","82","2016-06-21 18:22:50","未审核"
"424","用户","机器人扮演者","文人","42","2016-06-21 18:22:49","未审核"
"423","用户","机器人扮演者","网上购物","42","2016-06-21 18:22:48","未审核"
"422","用户","机器人扮演者","运动","40","2016-06-21 18:22:47","未审核"
"421","用户","机器人扮演者","购物","40","2016-06-21 18:22:47","未审核"
"420","用户","机器人扮演者","明星","126","2016-06-21 18:22:47","未审核"
"419","用户","机器人扮演者","运动","40","2016-06-21 18:22:45","未审核"
"418","用户","机器人扮演者","音乐","38","2016-06-21 18:22:45","未审核"
"417","用户","机器人扮演者","饮食","60","2016-06-21 18:22:45","未审核"
"415","用户","机器人扮演者","明星","40","2016-06-21 18:22:43","未审核"
"414","用户","机器人扮演者","游戏","56","2016-06-21 18:22:43","未审核"
"413","用户","机器人扮演者","游戏","31","2016-06-21 18:21:50","未审核"
"412","用户","机器人扮演者","饮食","28","2016-06-21 18:21:50","未审核"
"411","用户","机器人扮演者","电子产品","30","2016-06-21 18:21:50","未审核"
"410","用户","机器人扮演者","电脑","29","2016-06-21 18:21:49","未审核"
"409","用户","机器人扮演者","跟团游","30","2016-06-21 18:21:49","未审核"
"408","用户","机器人扮演者","火车出行","31","2016-06-21 18:21:49","未审核"
"407","用户","机器人扮演者","游戏","31","2016-06-21 18:20:00","未审核"
"406","用户","机器人扮演者","饮食","28","2016-06-21 18:20:00","未审核"
"405","用户","机器人扮演者","电子产品","30","2016-06-21 18:19:59","未审核"
"404","用户","机器人扮演者","电脑","29","2016-06-21 18:19:59","未审核"
"403","用户","机器人扮演者","跟团游","30","2016-06-21 18:19:59","未审核"
"402","用户","机器人扮演者","火车出行","31","2016-06-21 18:19:59","未审核"
